gen,nevals,avg,std,min,max
41,143,49.311601718331865,16.55954787801136,1.8340004909392604,85.07797202392094
42,143,50.753379336036176,18.12296746958456,-7.513168987303823,86.33826375703364
43,143,49.924912253759,15.832753426177508,-7.681457033453988,85.0751578292373
44,143,52.09989896671646,14.520462154874158,18.558561381629474,77.85360568498318
45,143,51.90875920360187,16.995996614683587,1.1785982203629075,85.71100257117742
46,143,51.86755944592354,16.161836940244473,6.192239124932634,85.90420491565506
47,143,53.08487380003104,18.913524069086005,-0.3071909481043633,87.07595315189427
48,143,53.57986154320356,16.263420384984787,7.083074844556911,86.81780498667746
49,143,53.657693401453045,17.482586056633984,10.693091486084004,86.81522807394344
50,143,55.72179927762654,16.430835942491566,-1.4775290807718395,86.02153519996472
51,143,56.04022907163856,15.78596742714391,1.968827108749231,85.8573994133988
52,143,57.39565071734739,15.75920054945645,16.872275784935347,86.24214726150106
53,143,55.68616584351218,16.976451041443422,6.342296591312142,87.41861054754565
54,143,60.342711094955035,15.577286222792004,10.095814093426295,86.59979810421252
55,143,61.97170571497295,14.1238242913898,28.05433249067974,86.3898052015148
56,143,61.11441952827317,17.25717513306637,4.8876447716340365,87.58608288698531
57,143,59.867521389143285,16.193484512844663,16.867697678049183,85.80900364604439
58,143,59.11321686781169,16.760151720850125,17.132966425819884,86.08913476328343
59,143,61.41483599976325,17.391072041944582,1.0095853424371057,87.356295812329
60,143,60.327697201391146,16.377284249360848,26.986046296523178,87.1073240529554
61,143,63.459822277750334,15.968439914991889,12.47090284007865,86.70131635823672
62,143,63.434322667577185,15.288245716669708,34.190854147007286,87.34880307170538
63,143,64.91073335819539,16.828783903624082,18.531143756131353,87.1031789220196
64,143,65.33158961424188,15.097067349993985,26.96661309596186,86.76395827493613
65,143,62.82408716534286,17.361160954737045,1.8143386144343694,86.9452373322805
66,143,63.839730519956504,17.184636560854123,19.1742488045443,86.7746797151936
67,143,67.78872765039723,15.804263694865899,10.16714761044311,87.35375298680782
68,143,66.66344522492267,15.655176464654721,15.54368314201622,87.3365397341232
69,143,68.07035852903716,15.443659743659993,23.65169382525407,88.11061740946333
70,143,65.1484426322486,16.144660003750538,10.914407045221559,87.85397722821136
71,143,64.71538067838486,15.561245098716226,26.79428872444083,88.19800705975346
72,143,66.0165332067026,15.468292332862056,24.76551703529474,86.97666637654127
73,143,67.74829435003979,15.907955379173805,11.940480434378046,87.77238269383294
74,143,68.70463637541076,15.914872738538739,8.731216651343495,88.56642617517352
75,143,65.8279707942509,16.657877176538133,13.586413083208598,87.34160337125188
76,143,67.26361758812261,17.35433192211708,18.253882331421487,88.23894677481286
77,143,69.3336049959668,14.667953013964775,30.98578617162241,88.55652217601764
78,143,66.85337702311904,18.3568434168144,0.6466080011604056,87.58433779233965
79,143,68.13849287809686,17.19441764418863,6.548753793267698,87.82652675662355
80,143,70.68522209789501,16.33713731612519,3.0351405042415465,88.11778591206111
81,143,69.05698817696516,15.706997490672737,26.54271025098018,87.89178567938734
82,143,69.05234367825601,16.164234299174495,15.116540789919899,88.36137619470698
83,143,67.96367938419527,17.642051194364157,5.498901498832865,89.63196519851327
84,143,67.0888944340756,16.792658054287138,15.094438570030892,89.05364372049975
85,143,70.21712146514871,16.991628728993724,5.237543607377724,87.86487368575273
86,143,67.23432838976383,16.535952903688983,16.449658410989475,87.21424014408701
87,143,69.43087297607008,17.073640611361018,5.857357733169039,88.32637063671437
88,143,70.66968464185453,15.422911922775604,27.424834553254236,89.2982388103982
89,143,70.61994844819243,16.456500696026616,16.45057719143626,88.65586249478719
90,143,70.09653388773216,15.807117560485812,27.60640530872008,89.23539916165011
91,143,67.72920257169824,16.804274857939756,15.480115154996895,89.40400080837432
92,143,66.23279712699592,18.60382467264482,16.48936827000134,88.00699601485032
93,143,67.67743931404677,15.548065759756987,25.744450996122556,87.72018461605052
94,143,67.23328015633192,18.30569293525048,19.60866957429033,89.41397725379096
95,143,66.35812849431974,17.526892020686464,19.773787590795532,88.36973341156917
96,143,67.6439626387368,16.520276546835497,4.218569379231365,88.3590804861816
97,143,71.04359138343851,15.5100301715054,30.953987350569516,88.12302992888878
98,143,70.65347374689799,17.913975555256204,5.86144445831035,87.91571706078687
99,143,70.61908075030831,16.000234004476667,6.690088510426861,88.31485699581066
100,143,72.40926622087784,14.180434117524676,37.52917989939023,90.10305929238903
101,143,72.50605276378975,16.098713027225227,13.740657667750426,88.00315731725777
102,143,72.45537333278129,17.318410134500617,15.825441851568698,89.69959138889445
103,143,74.17439374215256,14.610004665955271,17.651890647285438,88.06645792152756
104,143,73.64375988145805,14.343391645248591,24.936928535648228,88.35941024451328
105,143,71.78807248345305,15.702373678313615,21.981146683972835,88.90944768239308
106,143,74.64183565651965,14.870489560469336,28.517418634525995,88.47719112157257
